id,category_id,image_url,label_en,label_my,icon_order
read,actions,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/read.jpg,Read,စာဖတ်မယ်,2
run,actions,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/run.jpg,Run,ပြေးမယ်,1
sad,feelings,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Emotions/Sad.png,Sad,ဝမ်းနည်းတယ်,2
scared,feelings,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Emotions/Scared.png,Scared,ကြောက်တယ်,4
school,places,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Places/school.png,School,ကျောင်း,2
she,people,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/People/she.png,She,"သူမ
",10
sick,feelings,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/sick.png,Sick,မကျန်းမာဘူး,7
sleep,actions,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/sleep.jpg,Sleep,အိပ်မယ်,4
stomach,body,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Body/belly.png,Stomach hurts,ဗိုက်နာတယ်,2
swim,actions,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/swim.jpg,Swim,ရေကူးမယ်,7
teacher,people,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/People/maymay.png,Teacher,တီချယ်,3
tired,feelings,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/tired.png,Tired,ပင်ပန်းတယ်,5
toilet,shortcuts,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/Toilet.jpg,Toilet,"အိမ်သာသွားမယ်
",4
uncle,people,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/People/uncle.png,Uncle,ဦးလေး,7
wantTo,choices,"https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Choices/wantTo.jpg
",Want to,လုပ်ချင်တယ်,1
wantToSleep,shortcuts,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/sleep.jpg,want to sleep,"အိပ်ချင်တယ်

",7
water,food,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/actions/drink.jpg,Water,ရေ,1
yes,shortcuts,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Shortcuts/yes.png,Yes,ဟုတ်ကဲ့,1
zoo,places,https://uhehzdvgddwcrddisaxu.supabase.co/storage/v1/object/public/Icons/Places/zoo.png,Zoo,တိရစ္ဆာန်ရုံ,8
